title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
Lucy,2014,http://www.icheckmovies.com/movies/lucy-2014/,12550,333,2,186,,http://www.imdb.com/title/tt2872732/,"2015-03-30 04:24:04",no,no,no,no
Ouija,2014,http://www.icheckmovies.com/movies/ouija-2014/,1257,17,0,56,,http://www.imdb.com/title/tt1204977/,"2015-03-30 04:23:56",no,no,no,no
"House at the End of the Street",2012,http://www.icheckmovies.com/movies/house+at+the+end+of+the+street/,2686,42,0,67,,http://www.imdb.com/title/tt1582507/,"2015-03-30 04:23:46",no,no,no,no
Annabelle,2014,http://www.icheckmovies.com/movies/annabelle-2014/,4081,47,1,97,,http://www.imdb.com/title/tt3322940/,"2015-03-25 22:50:12",no,no,no,no
Casino,1995,http://www.icheckmovies.com/movies/casino/,41107,2683,11,602,,http://www.imdb.com/title/tt0112641/,"2015-03-25 20:56:49",no,no,yes,no
"Teenage Mutant Ninja Turtles",2014,http://www.icheckmovies.com/movies/teenage+mutant+ninja+turtles-2014/,5958,59,2,99,,http://www.imdb.com/title/tt1291150/,"2015-03-25 20:56:34",no,no,no,no
Honeymoon,2014,http://www.icheckmovies.com/movies/honeymoon-2014-1/,925,35,0,90,,http://www.imdb.com/title/tt3177316/,"2015-03-23 00:15:20",no,no,no,no
"Big Hero 6",2014,http://www.icheckmovies.com/movies/big+hero+6/,19421,1329,2,320,,http://www.imdb.com/title/tt2245084/,"2015-03-23 00:15:05",no,no,no,no
Fury,2014,http://www.icheckmovies.com/movies/fury-2014-1/,9366,436,1,178,,http://www.imdb.com/title/tt2713180/,"2015-03-23 00:14:48",no,no,no,no
"The November Man",2014,http://www.icheckmovies.com/movies/the+november+man/,1172,21,0,26,,http://www.imdb.com/title/tt2402157/,"2015-03-23 00:14:37",no,no,no,no
"Catch Hell",2014,http://www.icheckmovies.com/movies/catch+hell-2014/,40,0,0,0,,http://www.imdb.com/title/tt2403558/,"2015-03-16 04:17:06",no,no,no,no
"The Book of Eli",2010,http://www.icheckmovies.com/movies/the+book+of+eli/,17743,654,0,169,,http://www.imdb.com/title/tt1037705/,"2015-03-15 18:23:54",no,no,no,no
42,2013,http://www.icheckmovies.com/movies/42-2013-1/,2878,119,1,112,,http://www.imdb.com/title/tt0453562/,"2015-03-15 18:23:37",no,no,no,no
"22 Jump Street",2014,http://www.icheckmovies.com/movies/22+jump+street/,14238,567,2,178,,http://www.imdb.com/title/tt2294449/,"2015-03-15 18:23:29",no,no,no,no
"Pirates of the Caribbean: On Stranger Tides",2011,http://www.icheckmovies.com/movies/pirates+of+the+caribbean+on+stranger+tides/,38510,611,2,291,,http://www.imdb.com/title/tt1298650/,"2015-03-04 23:07:42",no,no,no,no
"Deliver Us from Evil",2014,http://www.icheckmovies.com/movies/deliver+us+from+evil-2014-1/,1480,28,0,67,,http://www.imdb.com/title/tt2377322/,"2015-03-04 23:07:00",no,no,no,no
Bullitt,1968,http://www.icheckmovies.com/movies/bullitt/,7372,331,10,308,,http://www.imdb.com/title/tt0062765/,"2015-03-04 23:06:44",no,no,no,no
Gone,2012,http://www.icheckmovies.com/movies/gone-2012/,1273,23,0,33,,http://www.imdb.com/title/tt1838544/,"2015-02-17 21:49:46",no,no,no,no
Horns,2013,http://www.icheckmovies.com/movies/horns/,2703,104,0,102,,http://www.imdb.com/title/tt1528071/,"2015-02-09 20:17:23",no,no,no,no
"The Monuments Men",2014,http://www.icheckmovies.com/movies/the+monuments+men/,4503,80,0,95,,http://www.imdb.com/title/tt2177771/,"2015-02-09 20:17:14",no,no,no,no
2012,2009,http://www.icheckmovies.com/movies/2012/,41375,402,2,179,,http://www.imdb.com/title/tt1190080/,"2015-01-28 13:57:07",no,no,no,no
"The Omega Man",1971,http://www.icheckmovies.com/movies/the+omega+man/,3315,90,2,145,,http://www.imdb.com/title/tt0067525/,"2015-01-28 13:55:38",no,no,no,no
Noah,2014,http://www.icheckmovies.com/movies/noah-2014/,8495,146,1,142,,http://www.imdb.com/title/tt1959490/,"2015-01-28 13:55:21",no,no,no,no
"The Divide",2011,http://www.icheckmovies.com/movies/the+divide/,948,48,0,71,,http://www.imdb.com/title/tt1535616/,"2015-01-22 00:06:20",no,no,no,no
Enemy,2013,http://www.icheckmovies.com/movies/enemy-2013/,6717,596,3,288,,http://www.imdb.com/title/tt2316411/,"2015-01-21 18:36:04",no,no,no,no
"I, Frankenstein",2014,http://www.icheckmovies.com/movies/i+frankenstein/,1628,16,0,51,,http://www.imdb.com/title/tt1418377/,"2015-01-19 19:57:54",no,no,no,no
"Lone Survivor",2013,http://www.icheckmovies.com/movies/lone+survivor/,4827,208,1,150,,http://www.imdb.com/title/tt1091191/,"2015-01-16 16:27:20",no,no,no,no
"Under the Skin",2013,http://www.icheckmovies.com/movies/under+the+skin-2013/,8556,741,8,541,,http://www.imdb.com/title/tt1441395/,"2015-01-15 00:09:16",no,no,no,no
Joe,2013,http://www.icheckmovies.com/movies/joe-2013-1/,1438,75,0,90,,http://www.imdb.com/title/tt2382396/,"2015-01-12 21:44:51",no,no,no,no
"Joe's Apartment",1996,http://www.icheckmovies.com/movies/joes+apartment/,1270,35,0,29,,http://www.imdb.com/title/tt0116707/,"2015-01-12 21:41:58",no,no,no,no
"The Rover",2014,http://www.icheckmovies.com/movies/the+rover/,1508,80,0,90,,http://www.imdb.com/title/tt2345737/,"2015-01-12 20:20:43",no,no,no,no
"A Million Ways to Die in the West",2014,http://www.icheckmovies.com/movies/a+million+ways+to+die+in+the+west/,4707,128,0,70,,http://www.imdb.com/title/tt2557490/,"2015-01-12 20:20:33",no,no,no,no
Hercules,2014,http://www.icheckmovies.com/movies/hercules-2014-1/,3832,52,1,67,,http://www.imdb.com/title/tt1267297/,"2015-01-11 17:32:45",no,no,no,no
"The Expendables 3",2014,http://www.icheckmovies.com/movies/the+expendables+3/,4382,59,1,91,,http://www.imdb.com/title/tt2333784/,"2015-01-09 05:44:28",no,no,no,no
Serpico,1973,http://www.icheckmovies.com/movies/serpico/,10667,658,9,344,,http://www.imdb.com/title/tt0070666/,"2015-01-07 18:44:06",no,no,no,no
"The Signal",2014,http://www.icheckmovies.com/movies/the+signal-2014-1/,1509,55,0,83,,http://www.imdb.com/title/tt2910814/,"2015-01-07 18:43:55",no,no,no,no
"Rear Window",1954,http://www.icheckmovies.com/movies/rear+window/,46885,5773,29,1238,,http://www.imdb.com/title/tt0047396/,"2015-01-07 18:43:25",no,no,yes,no
"V/H/S Viral",2014,http://www.icheckmovies.com/movies/vslashhslashs+viral/,550,11,0,44,,http://www.imdb.com/title/tt3704538/,"2014-12-29 16:07:46",no,no,no,no
V/H/S,2012,http://www.icheckmovies.com/movies/vslashhslashs/,3283,102,1,146,,http://www.imdb.com/title/tt2105044/,"2014-12-29 16:07:45",no,no,no,no
"Escape from Tomorrow",2013,http://www.icheckmovies.com/movies/escape+from+tomorrow/,949,36,1,78,,http://www.imdb.com/title/tt2187884/,"2014-12-28 17:36:28",no,no,no,no
"The Interview",2014,http://www.icheckmovies.com/movies/the+interview-2014/,7954,190,1,130,,http://www.imdb.com/title/tt2788710/,"2014-12-28 17:36:16",no,no,no,no
"Out of the Furnace",2013,http://www.icheckmovies.com/movies/out+of+the+furnace/,2396,73,0,78,,http://www.imdb.com/title/tt1206543/,"2014-12-14 20:53:32",no,no,no,no
Oculus,2013,http://www.icheckmovies.com/movies/oculus/,3734,163,1,157,,http://www.imdb.com/title/tt2388715/,"2014-12-14 20:53:15",no,no,no,no
"The Dead",2010,http://www.icheckmovies.com/movies/the+dead-2010/,288,5,0,45,,http://www.imdb.com/title/tt1386925/,"2014-12-10 18:51:10",no,no,no,no
JFK,1991,http://www.icheckmovies.com/movies/jfk/,19418,915,12,486,,http://www.imdb.com/title/tt0102138/,"2014-12-10 18:48:51",no,no,no,no
"Ice Age",2002,http://www.icheckmovies.com/movies/ice+age/,86607,1956,5,308,,http://www.imdb.com/title/tt0268380/,"2014-12-10 18:37:37",no,no,no,no
"The Hustler",1961,http://www.icheckmovies.com/movies/the+hustler/,11272,822,15,566,,http://www.imdb.com/title/tt0054997/,"2014-12-10 18:37:26",no,no,yes,no
"The Grand Budapest Hotel",2014,http://www.icheckmovies.com/movies/the+grand+budapest+hotel/,36062,4283,16,855,,http://www.imdb.com/title/tt2278388/,"2014-12-07 19:01:45",no,no,no,no
"Citizen Kane",1941,http://www.icheckmovies.com/movies/citizen+kane/,48904,4596,36,1453,,http://www.imdb.com/title/tt0033467/,"2014-12-07 18:55:48",no,no,yes,no
Snowpiercer,2013,http://www.icheckmovies.com/movies/snowpiercer/,12536,945,1,374,,http://www.imdb.com/title/tt1706620/,"2014-12-07 18:55:36",no,no,no,no
Braveheart,1995,http://www.icheckmovies.com/movies/braveheart/,84673,4538,20,700,,http://www.imdb.com/title/tt0112573/,"2014-12-03 15:30:26",no,no,yes,no
"Dallas Buyers Club",2013,http://www.icheckmovies.com/movies/dallas+buyers+club/,19231,1377,3,400,,http://www.imdb.com/title/tt0790636/,"2014-12-01 17:47:56",no,no,no,no
"Edge of Tomorrow",2014,http://www.icheckmovies.com/movies/edge+of+tomorrow/,21462,1664,3,390,,http://www.imdb.com/title/tt1631867/,"2014-12-01 17:47:24",no,no,no,no
"The Hunger Games: Mockingjay - Part 1",2014,http://www.icheckmovies.com/movies/the+hunger+games+mockingjay+-+part+1/,16307,381,2,236,,http://www.imdb.com/title/tt1951265/,"2014-11-30 17:19:32",no,no,no,no
"Man of Tai Chi",2013,http://www.icheckmovies.com/movies/man+of+tai+chi/,913,20,0,28,,http://www.imdb.com/title/tt2016940/,"2014-11-30 17:19:14",no,no,no,no
WALL·E,2008,http://www.icheckmovies.com/movies/walle/,117423,9891,23,1031,,http://www.imdb.com/title/tt0910970/,"2014-11-26 17:29:42",no,no,yes,no
Oblivion,2013,http://www.icheckmovies.com/movies/oblivion-2013-1/,13042,416,1,190,,http://www.imdb.com/title/tt1483013/,"2014-11-21 23:58:44",no,no,no,no
Unforgiven,1992,http://www.icheckmovies.com/movies/unforgiven/,34074,2715,22,871,,http://www.imdb.com/title/tt0105695/,"2014-11-21 23:58:32",no,no,yes,no
"Inside Llewyn Davis",2013,http://www.icheckmovies.com/movies/inside+llewyn+davis/,13076,1123,8,507,,http://www.imdb.com/title/tt2042568/,"2014-10-31 15:20:25",no,no,no,no
Network,1976,http://www.icheckmovies.com/movies/network/,21067,2240,13,738,,http://www.imdb.com/title/tt0074958/,"2014-10-31 15:20:14",no,no,yes,no
Rushmore,1998,http://www.icheckmovies.com/movies/rushmore/,26943,2633,10,536,,http://www.imdb.com/title/tt0128445/,"2014-10-31 15:19:58",no,no,no,no
"Feast II: Sloppy Seconds",2008,http://www.icheckmovies.com/movies/feast+ii+sloppy+seconds/,277,8,0,18,,http://www.imdb.com/title/tt1104835/,"2014-10-31 15:19:44",no,no,no,no
Detention,2011,http://www.icheckmovies.com/movies/detention-2011/,1044,69,1,120,,http://www.imdb.com/title/tt1701990/,"2014-10-17 14:49:54",no,no,no,no
"Bad Words",2013,http://www.icheckmovies.com/movies/bad+words/,1730,63,0,40,,http://www.imdb.com/title/tt2170299/,"2014-10-17 14:49:41",no,no,no,no
"Gone Girl",2014,http://www.icheckmovies.com/movies/gone+girl/,31511,2965,9,625,,http://www.imdb.com/title/tt2267998/,"2014-10-16 13:33:05",no,no,no,no
"The House of the Devil",2009,http://www.icheckmovies.com/movies/the+house+of+the+devil/,3758,206,3,203,,http://www.imdb.com/title/tt1172994/,"2014-10-16 13:32:53",no,no,no,no
"Despicable Me 2",2013,http://www.icheckmovies.com/movies/despicable+me+2/,19251,597,2,247,,http://www.imdb.com/title/tt1690953/,"2014-10-16 13:32:41",no,no,no,no
RoboCop,2014,http://www.icheckmovies.com/movies/robocop-2014-1/,7074,86,1,106,,http://www.imdb.com/title/tt1234721/,"2014-10-16 13:32:31",no,no,no,no
Non-Stop,2014,http://www.icheckmovies.com/movies/non-stop-2014-1/,5556,149,1,111,,http://www.imdb.com/title/tt2024469/,"2014-10-13 22:15:15",no,no,no,no
Maniac,2012,http://www.icheckmovies.com/movies/maniac-2012/,1778,78,1,120,,http://www.imdb.com/title/tt2103217/,"2014-10-13 22:15:02",no,no,no,no
"Død snø 2",2014,http://www.icheckmovies.com/movies/dod+sno+2/,1075,74,0,107,"Dead Snow 2: Red vs. Dead",http://www.imdb.com/title/tt2832470/,"2014-10-13 22:14:29",no,no,no,no
"Ride Along",2014,http://www.icheckmovies.com/movies/ride+along/,2054,41,1,52,,http://www.imdb.com/title/tt1408253/,"2014-10-12 18:33:59",no,no,no,no
Suspiria,1977,http://www.icheckmovies.com/movies/suspiria/,10631,1125,15,674,,http://www.imdb.com/title/tt0076786/,"2014-10-12 18:33:09",no,no,no,no
"Silent Hill: Revelation 3D",2012,http://www.icheckmovies.com/movies/silent+hill+revelation+3d/,1881,23,0,59,,http://www.imdb.com/title/tt0938330/,"2014-10-11 01:18:10",no,no,no,no
"The Den",2013,http://www.icheckmovies.com/movies/the+den/,386,9,0,34,,http://www.imdb.com/title/tt2503154/,"2014-10-07 06:13:10",no,no,no,no
"There Will Be Blood",2007,http://www.icheckmovies.com/movies/there+will+be+blood/,57259,6263,19,1098,,http://www.imdb.com/title/tt0469494/,"2014-10-07 06:11:12",no,no,no,no
"Shadow of the Vampire",2000,http://www.icheckmovies.com/movies/shadow+of+the+vampire/,2802,159,1,157,,http://www.imdb.com/title/tt0189998/,"2014-10-07 06:10:58",no,no,no,no
"In the Name of the King: A Dungeon Siege Tale",2007,http://www.icheckmovies.com/movies/in+the+name+of+the+king+a+dungeon+siege+tale/,1285,8,0,53,,http://www.imdb.com/title/tt0460780/,"2014-10-05 18:41:57",no,no,no,no
"The Stuff",1985,http://www.icheckmovies.com/movies/the+stuff/,1321,67,2,141,,http://www.imdb.com/title/tt0090094/,"2014-10-04 20:25:54",no,no,no,no
"Darkness Falls",2003,http://www.icheckmovies.com/movies/darkness+falls/,1774,17,1,67,,http://www.imdb.com/title/tt0282209/,"2014-10-04 20:25:25",no,no,no,no
Blitz,2011,http://www.icheckmovies.com/movies/blitz/,2488,38,0,34,,http://www.imdb.com/title/tt1297919/,"2014-09-29 21:04:56",no,no,no,no
Hummingbird,2013,http://www.icheckmovies.com/movies/hummingbird/,1287,31,0,23,Redemption,http://www.imdb.com/title/tt1893256/,"2014-09-29 19:20:56",no,no,no,no
"3 Days to Kill",2014,http://www.icheckmovies.com/movies/3+days+to+kill/,1562,32,0,37,,http://www.imdb.com/title/tt2172934/,"2014-09-29 05:27:01",no,no,no,no
"The Iceman",2012,http://www.icheckmovies.com/movies/the+iceman/,2115,59,0,43,,http://www.imdb.com/title/tt1491044/,"2014-09-29 05:26:06",no,no,no,no
Rush,2013,http://www.icheckmovies.com/movies/rush-2013/,16172,1306,6,340,,http://www.imdb.com/title/tt1979320/,"2014-09-24 18:19:48",no,no,no,no
Nebraska,2013,http://www.icheckmovies.com/movies/nebraska-2013/,8961,797,2,345,,http://www.imdb.com/title/tt1821549/,"2014-09-18 20:52:24",no,no,no,no
Philomena,2013,http://www.icheckmovies.com/movies/philomena/,5791,310,1,192,,http://www.imdb.com/title/tt2431286/,"2014-09-18 20:52:14",no,no,no,no
Her,2013,http://www.icheckmovies.com/movies/her-2013/,30796,3812,8,809,,http://www.imdb.com/title/tt1798709/,"2014-09-18 15:46:12",no,no,no,no
Sabotage,2014,http://www.icheckmovies.com/movies/sabotage-2014-1/,1206,11,0,33,,http://www.imdb.com/title/tt1742334/,"2014-09-18 15:43:58",no,no,no,no
"Up in Smoke",1978,http://www.icheckmovies.com/movies/up+in+smoke/,5259,176,4,131,,http://www.imdb.com/title/tt0078446/,"2014-09-14 15:24:16",no,no,no,no
"Shriek If You Know What I Did Last Friday the Thirteenth",2000,http://www.icheckmovies.com/movies/shriek+if+you+know+what+i+did+last+friday+the+thirteenth/,753,9,1,25,,http://www.imdb.com/title/tt0212235/,"2014-09-14 15:23:36",no,no,no,no
"Mickey Blue Eyes",1999,http://www.icheckmovies.com/movies/mickey+blue+eyes/,2921,41,1,34,,http://www.imdb.com/title/tt0130121/,"2014-09-14 15:22:49",no,no,no,no
Jack,1996,http://www.icheckmovies.com/movies/jack/,5843,99,1,55,,http://www.imdb.com/title/tt0116669/,"2014-09-14 15:22:29",no,no,no,no
"Cheech and Chong's Next Movie",1980,http://www.icheckmovies.com/movies/cheech+and+chongs+next+movie/,734,17,2,46,"High Encounters of the Ultimate Kind",http://www.imdb.com/title/tt0080520/,"2014-09-14 15:21:43",no,no,no,no
"Canadian Bacon",1995,http://www.icheckmovies.com/movies/canadian+bacon/,1098,30,1,42,,http://www.imdb.com/title/tt0109370/,"2014-09-14 15:21:12",no,no,no,no
"Animal Crackers",1930,http://www.icheckmovies.com/movies/animal+crackers/,2060,133,2,182,,http://www.imdb.com/title/tt0020640/,"2014-09-14 15:20:42",no,no,no,no
"The Birdcage",1996,http://www.icheckmovies.com/movies/the+birdcage/,6029,298,3,160,"Birds of a Feather",http://www.imdb.com/title/tt0115685/,"2014-09-14 15:20:29",no,no,no,no
"Jack Ryan: Shadow Recruit",2014,http://www.icheckmovies.com/movies/jack+ryan+shadow+recruit/,2837,32,0,65,,http://www.imdb.com/title/tt1205537/,"2014-09-14 15:20:13",no,no,no,no
"Ender's Game",2013,http://www.icheckmovies.com/movies/enders+game/,6387,209,0,123,,http://www.imdb.com/title/tt1731141/,"2014-09-11 05:59:39",no,no,no,no
"Satan's Little Helper",2004,http://www.icheckmovies.com/movies/satans+little+helper/,365,11,1,56,,http://www.imdb.com/title/tt0380687/,"2014-09-01 16:42:25",no,no,no,no
"Juan de los Muertos",2011,http://www.icheckmovies.com/movies/juan+de+los+muertos/,633,34,2,104,"Juan of the Dead",http://www.imdb.com/title/tt1838571/,"2014-09-01 16:42:11",no,no,no,no
Amadeus,1984,http://www.icheckmovies.com/movies/amadeus/,46791,4158,22,795,,http://www.imdb.com/title/tt0086879/,"2014-08-29 19:49:08",no,no,yes,no
"Captain Phillips",2013,http://www.icheckmovies.com/movies/captain+phillips/,15482,819,2,338,,http://www.imdb.com/title/tt1535109/,"2014-08-29 19:46:55",no,no,no,no
Carrie,2013,http://www.icheckmovies.com/movies/carrie-2013/,4338,66,0,118,,http://www.imdb.com/title/tt1939659/,"2014-08-29 16:58:19",no,no,no,no
Riddick,2013,http://www.icheckmovies.com/movies/riddick/,3677,83,0,71,,http://www.imdb.com/title/tt1411250/,"2014-08-29 16:58:01",no,no,no,no
"Delivery Man",2013,http://www.icheckmovies.com/movies/delivery+man-2013-1/,2184,56,0,44,,http://www.imdb.com/title/tt2387559/,"2014-08-25 05:08:57",no,no,no,no
R.I.P.D.,2013,http://www.icheckmovies.com/movies/r.i.p.d./,3385,58,0,53,,http://www.imdb.com/title/tt0790736/,"2014-08-19 23:52:49",no,no,no,no
"Hostel: Part III",2011,http://www.icheckmovies.com/movies/hostel+part+iii/,1193,12,0,53,,http://www.imdb.com/title/tt1255916/,"2014-08-12 23:42:32",no,no,no,no
"The Internship",2013,http://www.icheckmovies.com/movies/the+internship/,6157,165,0,83,,http://www.imdb.com/title/tt2234155/,"2014-08-06 23:21:21",no,no,no,no
Troy,2004,http://www.icheckmovies.com/movies/troy/,57850,1390,3,225,,http://www.imdb.com/title/tt0332452/,"2014-08-01 20:10:02",no,no,no,no
"Guardians of the Galaxy",2014,http://www.icheckmovies.com/movies/guardians+of+the+galaxy/,36115,2753,5,615,,http://www.imdb.com/title/tt2015381/,"2014-08-01 20:09:55",no,no,no,no
"Dawn of the Planet of the Apes",2014,http://www.icheckmovies.com/movies/dawn+of+the+planet+of+the+apes/,15893,723,3,299,,http://www.imdb.com/title/tt2103281/,"2014-07-30 14:18:20",no,no,no,no
"Thelma & Louise",1991,http://www.icheckmovies.com/movies/thelma+and+louise/,22443,1071,11,457,,http://www.imdb.com/title/tt0103074/,"2014-07-26 21:27:39",no,no,no,no
"The Hunt for Red October",1990,http://www.icheckmovies.com/movies/the+hunt+for+red+october/,11595,493,2,202,,http://www.imdb.com/title/tt0099810/,"2014-07-22 06:19:02",no,no,no,no
Homefront,2013,http://www.icheckmovies.com/movies/homefront-2013-1/,1810,38,0,43,,http://www.imdb.com/title/tt2312718/,"2014-07-18 23:29:05",no,no,no,no
"Let Me In",2010,http://www.icheckmovies.com/movies/let+me+in/,8673,345,2,190,,http://www.imdb.com/title/tt1228987/,"2014-07-18 15:12:23",no,no,no,no
"Butch Cassidy and the Sundance Kid",1969,http://www.icheckmovies.com/movies/butch+cassidy+and+the+sundance+kid/,29368,2333,21,785,,http://www.imdb.com/title/tt0064115/,"2014-07-07 02:11:08",no,no,yes,no
"What About Bob?",1991,http://www.icheckmovies.com/movies/what+about+bobquestion/,4074,213,1,73,,http://www.imdb.com/title/tt0103241/,"2014-07-07 02:10:44",no,no,no,no
"The Pianist",2002,http://www.icheckmovies.com/movies/the+pianist/,67091,5430,20,807,,http://www.imdb.com/title/tt0253474/,"2014-07-03 14:22:33",no,no,yes,no
"Transformers: Age of Extinction",2014,http://www.icheckmovies.com/movies/transformers+age+of+extinction/,7385,83,2,129,,http://www.imdb.com/title/tt2109248/,"2014-07-02 15:24:56",no,no,no,no
"Red State",2011,http://www.icheckmovies.com/movies/red+state/,4163,159,1,122,,http://www.imdb.com/title/tt0873886/,"2014-07-01 21:00:31",no,no,no,no
"The Lego Movie",2014,http://www.icheckmovies.com/movies/the+lego+movie/,24301,1665,4,434,,http://www.imdb.com/title/tt1490017/,"2014-06-20 04:30:24",no,no,no,no
"The Naked Gun: From the Files of Police Squad!",1988,http://www.icheckmovies.com/movies/the+naked+gun+from+the+files+of+police+squadexclamation/,25434,1073,6,316,,http://www.imdb.com/title/tt0095705/,"2014-06-20 04:29:47",no,no,no,no
"Red Dawn",2012,http://www.icheckmovies.com/movies/red+dawn-2012-1/,1825,17,0,46,,http://www.imdb.com/title/tt1234719/,"2014-06-17 17:53:33",no,no,no,no
Sharknado,2013,http://www.icheckmovies.com/movies/sharknado/,2792,45,0,81,,http://www.imdb.com/title/tt2724064/,"2014-06-17 17:53:16",no,no,no,no
"Texas Chainsaw 3D",2013,http://www.icheckmovies.com/movies/texas+chainsaw+3d/,1292,13,0,62,,http://www.imdb.com/title/tt1572315/,"2014-06-02 23:43:23",no,no,no,no
"Insidious: Chapter 2",2013,http://www.icheckmovies.com/movies/insidious+chapter+2/,4168,96,0,145,,http://www.imdb.com/title/tt2226417/,"2014-06-02 23:42:41",no,no,no,no
"Machete Kills",2013,http://www.icheckmovies.com/movies/machete+kills/,2636,64,0,63,,http://www.imdb.com/title/tt2002718/,"2014-06-02 16:48:22",no,no,no,no
"X-Men: Days of Future Past",2014,http://www.icheckmovies.com/movies/x-men+days+of+future+past/,26180,1369,3,407,,http://www.imdb.com/title/tt1877832/,"2014-05-23 19:25:22",no,no,no,no
Godzilla,2014,http://www.icheckmovies.com/movies/godzilla-2014-1/,12709,322,2,204,,http://www.imdb.com/title/tt0831387/,"2014-05-18 06:03:11",no,no,no,no
Prisoners,2013,http://www.icheckmovies.com/movies/prisoners-2013/,20533,1916,7,527,,http://www.imdb.com/title/tt1392214/,"2014-05-18 06:02:48",no,no,no,no
"King Arthur",2004,http://www.icheckmovies.com/movies/king+arthur/,11460,181,1,82,,http://www.imdb.com/title/tt0349683/,"2014-05-17 15:32:48",no,no,no,no
Dracula,1992,http://www.icheckmovies.com/movies/dracula-1992/,18314,917,6,342,"Bram Stoker's Dracula",http://www.imdb.com/title/tt0103874/,"2014-05-17 15:32:26",no,no,no,no
"We're the Millers",2013,http://www.icheckmovies.com/movies/were+the+millers/,13256,417,2,163,,http://www.imdb.com/title/tt1723121/,"2014-05-17 15:30:13",no,no,no,no
Gojira,1954,http://www.icheckmovies.com/movies/gojira/,7027,363,11,388,Godzilla,http://www.imdb.com/title/tt0047034/,"2014-05-16 23:23:55",no,no,no,no
"Godzilla: King of the Monsters!",1956,http://www.icheckmovies.com/movies/godzilla+king+of+the+monstersexclamation/,887,17,1,81,,http://www.imdb.com/title/tt0197521/,"2014-05-16 23:23:28",no,no,no,no
Neighbors,2014,http://www.icheckmovies.com/movies/neighbors-2014/,9534,211,2,119,,http://www.imdb.com/title/tt2004420/,"2014-05-11 20:50:41",no,no,no,no
"The Amazing Spider-Man 2",2014,http://www.icheckmovies.com/movies/the+amazing+spider-man+2/,14110,312,2,216,,http://www.imdb.com/title/tt1872181/,"2014-05-11 20:49:03",no,no,no,no
"Brick Mansions",2014,http://www.icheckmovies.com/movies/brick+mansions/,760,11,0,27,,http://www.imdb.com/title/tt1430612/,"2014-04-30 04:50:35",no,no,no,no
"Don Jon",2013,http://www.icheckmovies.com/movies/don+jon/,9116,291,0,150,,http://www.imdb.com/title/tt2229499/,"2014-04-29 02:28:07",no,no,no,no
"Cidade de Deus",2002,http://www.icheckmovies.com/movies/cidade+de+deus/,52236,6731,21,986,"City of God",http://www.imdb.com/title/tt0317248/,"2014-04-21 22:36:59",no,no,no,no
"G.I. Joe: Retaliation",2013,http://www.icheckmovies.com/movies/g.i.+joe+retaliation/,5636,56,1,66,,http://www.imdb.com/title/tt1583421/,"2014-04-17 14:18:42",no,no,no,no
"Stand by Me",1986,http://www.icheckmovies.com/movies/stand+by+me/,46041,3547,8,629,,http://www.imdb.com/title/tt0092005/,"2014-04-15 15:51:50",no,no,yes,no
"Captain America: The Winter Soldier",2014,http://www.icheckmovies.com/movies/captain+america+the+winter+soldier/,23511,1318,3,427,,http://www.imdb.com/title/tt1843866/,"2014-04-07 20:39:37",no,no,no,no
"12 Years a Slave",2013,http://www.icheckmovies.com/movies/12+years+a+slave/,28998,1973,18,721,,http://www.imdb.com/title/tt2024544/,"2014-03-29 21:06:08",no,no,no,no
"Bad Grandpa",2013,http://www.icheckmovies.com/movies/bad+grandpa/,3847,112,0,94,,http://www.imdb.com/title/tt3063516/,"2014-03-29 17:03:23",no,no,no,no
Gravity,2013,http://www.icheckmovies.com/movies/gravity-2013/,37940,2576,9,770,,http://www.imdb.com/title/tt1454468/,"2014-03-12 04:32:00",no,no,no,no
"Monsters University",2013,http://www.icheckmovies.com/movies/monsters+university/,23838,735,2,273,,http://www.imdb.com/title/tt1453405/,"2014-03-12 04:31:51",no,no,no,no
"2 Guns",2013,http://www.icheckmovies.com/movies/2+guns/,3783,94,0,85,,http://www.imdb.com/title/tt1272878/,"2014-03-12 04:31:15",no,no,no,no
"Last Vegas",2013,http://www.icheckmovies.com/movies/last+vegas/,3328,94,0,68,,http://www.imdb.com/title/tt1204975/,"2014-03-01 00:59:47",no,no,no,no
"Bonnie and Clyde",1967,http://www.icheckmovies.com/movies/bonnie+and+clyde/,23190,1473,29,793,,http://www.imdb.com/title/tt0061418/,"2014-02-21 06:29:41",no,no,no,no
"Gangster Squad",2013,http://www.icheckmovies.com/movies/gangster+squad/,6921,175,0,122,,http://www.imdb.com/title/tt1321870/,"2014-02-19 03:54:58",no,no,no,no
"American Hustle",2013,http://www.icheckmovies.com/movies/american+hustle/,21881,716,5,390,,http://www.imdb.com/title/tt1800241/,"2014-02-19 03:53:55",no,no,no,no
"The Place Beyond the Pines",2012,http://www.icheckmovies.com/movies/the+place+beyond+the+pines/,9016,736,0,256,,http://www.imdb.com/title/tt1817273/,"2014-02-15 15:45:35",no,no,no,no
"White House Down",2013,http://www.icheckmovies.com/movies/white+house+down/,6434,133,1,101,,http://www.imdb.com/title/tt2334879/,"2014-02-15 15:45:18",no,no,no,no
"The Wolf of Wall Street",2013,http://www.icheckmovies.com/movies/the+wolf+of+wall+street-2013/,44342,3246,12,797,,http://www.imdb.com/title/tt0993846/,"2014-02-05 15:40:08",no,no,no,no
