title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
"Lake Mungo",2008,http://www.icheckmovies.com/movies/lake+mungo/,1114,74,1,126,,http://www.imdb.com/title/tt0816556/,"2019-09-02 20:04:42",no,no,no,no
Us,2019,http://www.icheckmovies.com/movies/us-2019/,5035,275,5,194,,http://www.imdb.com/title/tt6857112/,"2019-09-02 20:04:14",no,no,no,no
"The Clovehitch Killer",2018,http://www.icheckmovies.com/movies/the+clovehitch+killer/,342,18,0,26,,http://www.imdb.com/title/tt6269368/,"2019-08-30 16:37:10",no,no,no,no
"The Love Guru",2008,http://www.icheckmovies.com/movies/the+love+guru/,3074,17,0,44,,http://www.imdb.com/title/tt0811138/,"2019-07-30 22:03:31",no,no,no,no
"A Dark Song",2016,http://www.icheckmovies.com/movies/a+dark+song/,401,19,0,69,,http://www.imdb.com/title/tt4805316/,"2019-07-20 01:35:23",no,no,no,no
"Spider-Man: Far from Home",2019,http://www.icheckmovies.com/movies/spider-man+far+from+home/,5812,240,3,136,,http://www.imdb.com/title/tt6320628/,"2019-07-12 20:54:30",no,no,no,no
Hellboy,2019,http://www.icheckmovies.com/movies/hellboy-2019/,1073,19,0,40,,http://www.imdb.com/title/tt2274648/,"2019-07-05 11:57:10",no,no,no,no
Widows,2018,http://www.icheckmovies.com/movies/widows-2018/,2453,107,2,98,,http://www.imdb.com/title/tt4218572/,"2019-07-05 11:56:25",no,no,no,no
Venom,2018,http://www.icheckmovies.com/movies/venom-2018/,5168,148,2,92,,http://www.imdb.com/title/tt1270797/,"2019-07-05 11:56:10",no,no,no,no
Aquaman,2018,http://www.icheckmovies.com/movies/aquaman-2018/,5099,167,2,112,,http://www.imdb.com/title/tt1477834/,"2019-07-05 11:55:38",no,no,no,no
"Ready Player One",2018,http://www.icheckmovies.com/movies/ready+player+one/,7475,411,1,175,,http://www.imdb.com/title/tt1677720/,"2019-06-17 22:59:54",no,no,no,no
Semi-Pro,2008,http://www.icheckmovies.com/movies/semi-pro/,4309,64,0,53,,http://www.imdb.com/title/tt0839980/,"2019-06-17 22:59:28",no,no,no,no
"Hell House LLC",2015,http://www.icheckmovies.com/movies/hell+house+llc/,232,14,0,23,,http://www.imdb.com/title/tt4267026/,"2019-06-05 20:24:02",no,no,no,no
Splice,2009,http://www.icheckmovies.com/movies/splice/,5487,109,1,128,,http://www.imdb.com/title/tt1017460/,"2019-06-05 18:55:49",no,no,no,no
MacGruber,2010,http://www.icheckmovies.com/movies/macgruber/,2630,67,0,60,,http://www.imdb.com/title/tt1470023/,"2019-06-05 18:55:17",no,no,no,no
"Little Evil",2017,http://www.icheckmovies.com/movies/little+evil/,698,11,0,26,,http://www.imdb.com/title/tt2937366/,"2019-05-31 20:51:45",no,no,no,no
Shutter,2004,http://www.icheckmovies.com/movies/shutter/,4723,190,1,120,,http://www.imdb.com/title/tt0440803/,"2019-05-30 00:45:56",no,no,no,no
"Starry Eyes",2014,http://www.icheckmovies.com/movies/starry+eyes/,855,34,1,87,,http://www.imdb.com/title/tt2793490/,"2019-05-29 01:29:51",no,no,no,no
"Insidious: The Last Key",2018,http://www.icheckmovies.com/movies/insidious+the+last+key/,800,11,0,36,,http://www.imdb.com/title/tt5726086/,"2019-05-28 20:40:22",no,no,no,no
